src_name,dst_name,classification
ip_fac_tps_isa__tps_av,ip_fac_tps_isa__tps_av,DIRECT_COPY
ip_fac_tqd_cat__pvs_av,ip_fac_tqd_cat__pvs_av,DIRECT_COPY
ip_fac_tqd_cor__tqi_asr_can,ip_fac_tqd_cor__tqi_asr_can,DIRECT_COPY
ip_gain_knk__n,ip_gain_knk__n,DIRECT_COPY
ip_iga_accin_puc__n__tco,ip_iga_accin_puc__n__tco,DIRECT_COPY
ip_iga_ast__n_dif_cor,ip_iga_ast__n_dif_cor,DIRECT_COPY
ip_iga_ch_2__n__pvs_av,ip_iga_ch_2__n__pvs_av,DIRECT_COPY
ip_iga_ch__n__maf,ip_iga_ch__n__maf,DIRECT_COPY
ip_iga_ch_cat_var__n__maf,ip_iga_ch_cat_var__n__maf,DIRECT_COPY
ip_iga_ch_is__n,ip_iga_ch_is__n,DIRECT_COPY
ip_iga_cor_cam_dif_ex__cam_dif,ip_iga_cor_cam_dif_ex__cam_dif,DIRECT_COPY
ip_iga_cor_cam_dif_in__cam_dif,ip_iga_cor_cam_dif_in__cam_dif,DIRECT_COPY
ip_iga_dif_tqr__tqd_fac,ip_iga_dif_tqr__tqd_fac,DIRECT_COPY
ip_iga_fac_is__tco,ip_iga_fac_is__tco,DIRECT_COPY
ip_iga_lgrd_max_puc__n,ip_iga_lgrd_max_puc__n,DIRECT_COPY
ip_iga_lgrd_max_puc_accin__n,ip_iga_lgrd_max_puc_accin__n,DIRECT_COPY
ip_iga_lgrd_ris__n_grd,ip_iga_lgrd_ris__n_grd,DIRECT_COPY
ip_iga_maf_n__n__maf,ip_iga_maf_n__n__maf,DIRECT_COPY
ip_iga_maf_n_is__n__maf,ip_iga_maf_n_is__n__maf,DIRECT_COPY
ip_iga_maf_n_knk_diag__n__maf,ip_iga_maf_n_knk_diag__n__maf,DIRECT_COPY
ip_iga_max_puc__n,ip_iga_max_puc__n,DIRECT_COPY
ip_iga_n_dif_is__n_dif_cor,ip_iga_n_dif_is__n_dif_cor,DIRECT_COPY
ip_iga_optm_tco_1__n__maf,ip_iga_optm_tco_1__n__maf,DIRECT_COPY
ip_iga_optm_tco_2__n__maf,ip_iga_optm_tco_2__n__maf,DIRECT_COPY
ip_iga_pu__n__tco,ip_iga_pu__n__tco,DIRECT_COPY
ip_iga_puc__n__tco,ip_iga_puc__n__tco,DIRECT_COPY
ip_iga_ron_91_pl_ivvt__n__maf,ip_iga_ron_91_pl_ivvt__n__maf,DIRECT_COPY
ip_iga_ron_98_pl_ivvt__n__maf,ip_iga_ron_98_pl_ivvt__n__maf,DIRECT_COPY
ip_iga_st__n,ip_iga_st__n,DIRECT_COPY
